timestamp,cycle,mode,episode_in_mode,total_reward,steps,v_out_mean
1768411925,2,train,56,3.0,248,-62.96152114868164
1768411957,2,train,57,2.0,204,-63.233768463134766
1768411980,2,train,58,0.0,151,-65.17893981933594
1768412014,2,train,59,2.0,220,-64.49220275878906
1768412045,2,train,60,2.0,203,-63.58049392700195
1768412077,2,train,61,2.0,205,-61.85089111328125
1768412108,2,train,62,2.0,202,-62.26708984375
1768412146,2,train,63,3.0,246,-63.28461837768555
1768412177,2,train,64,2.0,198,-62.00702667236328
1768412207,2,train,65,2.0,199,-62.51752471923828
1768412238,2,train,66,2.0,200,-63.305274963378906
1768412270,2,train,67,2.0,207,-64.5250015258789
1768412291,2,train,68,0.0,137,-64.23722076416016
1768412313,2,train,69,0.0,140,-64.26879119873047
1768412345,2,train,70,2.0,207,-63.56281280517578
1768412377,2,train,71,2.0,208,-63.69111251831055
1768412417,2,train,72,3.0,261,-63.50318908691406
1768412450,2,train,73,2.0,215,-64.01566314697266
1768412476,2,train,74,0.0,168,-65.90787506103516
1768412498,2,train,75,0.0,142,-65.78404235839844
1768412521,2,train,76,0.0,150,-65.94502258300781
1768412542,2,train,77,0.0,138,-65.82152557373047
1768412563,2,train,78,0.0,132,-65.63764953613281
1768412595,2,train,79,2.0,207,-65.85780334472656
1768412628,2,train,80,2.0,213,-65.69477844238281
1768412660,2,train,81,2.0,210,-63.50096893310547
1768412700,2,train,82,3.0,257,-63.70878219604492
1768412720,2,train,83,0.0,136,-64.00700378417969
1768412754,2,train,84,2.0,216,-64.0677719116211
1768412793,2,train,85,3.0,252,-64.17964935302734
1768412815,2,train,86,0.0,148,-64.011474609375
1768412836,2,train,87,0.0,135,-64.38429260253906
1768412876,2,train,88,3.0,256,-63.12095260620117
1768412907,2,train,89,2.0,202,-62.5214958190918
1768412946,2,train,90,3.0,251,-62.94507598876953
1768412977,2,train,91,2.0,201,-64.22611999511719
1768413009,2,train,92,2.0,211,-62.89497756958008
1768413041,2,train,93,2.0,203,-61.76634216308594
1768413071,2,train,94,2.0,198,-62.7076530456543
1768413104,2,train,95,2.0,209,-63.32440185546875
1768413135,2,train,96,2.0,200,-63.3291130065918
1768413166,2,train,97,2.0,201,-62.289466857910156
1768413196,2,train,98,2.0,200,-62.16221237182617
1768413235,2,train,99,3.0,247,-62.51634979248047
1768413235,2,train_cycle_avg,-1,1.73,203,-63.26838600158691
1768413258,2,test,0,2.0,200,-62.29909896850586
